timestamp,src,dst,protocol,length,prediction
2025-07-10 15:31:49,192.168.0.200,143.244.44.166,UDP,138,20
2025-07-10 15:31:49,192.168.0.200,143.244.44.166,UDP,122,20
2025-07-10 15:31:49,192.168.0.200,143.244.44.166,UDP,778,20
2025-07-10 15:31:50,192.168.0.200,143.244.44.166,UDP,154,20
2025-07-10 15:31:50,143.244.44.166,192.168.0.200,UDP,122,20
2025-07-10 15:31:50,192.168.0.200,143.244.44.166,UDP,122,20
2025-07-10 15:31:51,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:31:51,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:31:51,192.168.0.200,143.244.44.166,UDP,122,20
2025-07-10 15:31:51,192.168.0.200,143.244.44.166,UDP,250,20
2025-07-10 15:31:51,192.168.0.200,143.244.44.166,UDP,1466,20
2025-07-10 15:31:52,192.168.0.200,143.244.44.166,UDP,618,20
2025-07-10 15:31:52,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:31:52,143.244.44.166,192.168.0.200,UDP,122,20
2025-07-10 15:31:53,143.244.44.166,192.168.0.200,UDP,154,20
2025-07-10 15:31:53,143.244.44.166,192.168.0.200,UDP,330,20
2025-07-10 15:31:53,192.168.0.200,143.244.44.166,UDP,122,20
2025-07-10 15:31:53,192.168.0.200,143.244.44.166,UDP,122,20
2025-07-10 15:31:54,143.244.44.166,192.168.0.200,UDP,122,20
2025-07-10 15:31:54,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:31:54,143.244.44.166,192.168.0.200,UDP,122,20
2025-07-10 15:31:54,143.244.44.166,192.168.0.200,UDP,122,20
2025-07-10 15:31:55,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:31:55,143.244.44.166,192.168.0.200,UDP,298,20
2025-07-10 15:31:55,192.168.0.200,143.244.44.166,UDP,138,20
2025-07-10 15:31:56,192.168.0.200,143.244.44.166,UDP,122,20
2025-07-10 15:31:56,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:31:57,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:31:57,143.244.44.166,192.168.0.200,UDP,362,20
2025-07-10 15:31:57,192.168.0.200,143.244.44.166,UDP,122,20
2025-07-10 15:31:58,143.244.44.166,192.168.0.200,UDP,122,20
2025-07-10 15:31:58,192.168.0.200,143.244.44.166,UDP,122,20
2025-07-10 15:31:58,192.168.0.200,143.244.44.166,UDP,138,20
2025-07-10 15:31:59,192.168.0.200,143.244.44.166,UDP,138,20
2025-07-10 15:31:59,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:31:59,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:31:59,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:31:59,192.168.0.200,143.244.44.166,UDP,138,20
2025-07-10 15:32:00,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:32:00,143.244.44.166,192.168.0.200,UDP,122,20
2025-07-10 15:32:00,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:32:00,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:32:00,192.168.0.200,143.244.44.166,UDP,122,20
2025-07-10 15:32:01,192.168.0.200,143.244.44.166,UDP,250,20
2025-07-10 15:32:01,192.168.0.200,143.244.44.166,UDP,1466,20
2025-07-10 15:32:01,192.168.0.200,143.244.44.166,UDP,618,20
2025-07-10 15:32:01,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:32:01,192.168.0.200,143.244.44.166,UDP,138,20
2025-07-10 15:32:02,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:32:02,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:32:02,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:32:03,143.244.44.166,192.168.0.200,UDP,122,20
2025-07-10 15:32:03,143.244.44.166,192.168.0.200,UDP,122,20
2025-07-10 15:32:03,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:32:03,192.168.0.200,143.244.44.166,UDP,922,20
2025-07-10 15:32:04,192.168.0.200,143.244.44.166,UDP,138,20
2025-07-10 15:32:04,192.168.0.200,143.244.44.166,UDP,154,20
2025-07-10 15:32:04,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:32:04,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:32:05,143.244.44.166,192.168.0.200,UDP,138,20
2025-07-10 15:32:05,192.168.0.200,143.244.44.166,UDP,138,20
